Result,Count
100000000001101011100001011001,1
100000000001110000000111010001,1
100000000011001100010101111001,1
110000000011111101111010110001,1
100000000000011010000111101110,1
101101000110010011100000111000,1
100000000011001000100001011010,1
101101000110011100011011101000,1
101101000110010100110100011111,1
001101000110001010111000011011,1
100000000000011000001010010101,1
000000000000011000000001110001,1
101101000101011100010001000110,1
101101000110110011101010001011,1
111101000101011100010100011000,1
111101000101010010110101000101,1
110000000000101100010100111001,1
100000001000000110101010011001,1
101101000100100010000001110001,1
100000111000001110001011010001,1
101101000110100011010110100110,1
101101000110010000001000111010,1
101101000110111011100100001000,1
100000000001101101111001100000,1
100000000000011111001000001110,1
010000000000010011111101110001,1
101110101111010110100000101001,1
100000000010011010000100010111,1
111101000101001100011011001011,1
110000000011010000000011110001,1
100000000000011100111100010111,1
110000000000001010000100101000,1
100011011110011100011110111000,1
100000000001111001101001101011,1
101101000110010010110000101001,1
100011101000011111111000111000,1
101101111110010110011011011000,1
110000000000011000001000101001,1
101101000110110100011000000000,1
100000111000010110001100110001,1
111101000101010011111110111010,1
101101000110001110100001011111,1
101101000111100000001010011100,1
100000000000011010111100111011,1
111101000110010100011010001001,1
101101000110000101110101000110,1
100000000000010100011001001110,1
110000000000010000000111100110,1
001101000110100110000001110111,1
010000000000110110000111110001,1
100000000011110111111010110000,1
010000000000010100101001011111,1
100011011101011010001101100110,1
100000111000010000001010001000,1
101110101100010111000000110111,1
100000000000000110011001110001,1
100000000000101011101010100000,1
100000000000011010110101001011,1
100000111011111110000100010111,1
100000000010010110100001110000,1
000000000011110001100101110001,1
110000000000000001011011001000,1
101101000111100110011000110110,1
101101000110110111110101011000,1
100000000011010010111011000001,1
101101000110001000001000110001,1
101101111101000101001000100110,1
100000001000011011100001011000,1
100000000000100011011110011001,1
001101000101001111001001101110,1
001101000111110010111110111001,1
111101000101000101100001111001,1
100000000010100000001010001011,1
100011011101001001100100110110,1
100000000010001111111001010001,1
101101000110010000000111011000,1
101101000110010100101000100110,1
110000000000010011011000011001,1
110000000011101101000101001101,1
111101000110001111110001110001,1
101101000101101110011001001001,1
110000000011110100011001001110,1
101110101110110000100010011100,1
110011101010010101100000010001,1
101101000110110111111010100000,1
101110011011111000001001100110,1
111101000110010010000110100000,1
100011011100100011011001010001,1
110000000000001100011111111110,1
100000111011111001011001010001,1
101101000110110110101000110000,1
101101000110011010111001000000,1
100000111000101110011011000111,1
110011011110010101001101000001,1
111101000110010000001000110010,1
101110101101011111110110011110,1
111101000111000010001010000000,1
101101000101011101111110111100,1
110000000011011111111000010001,1
101110101110001011011100111001,1
100000000000010000001100000110,1
101101000110010110001011101110,1
100000000011011111111001000110,1
100000111000101010111110001001,1
110000000010000101111001001000,1
101101000111010001100001100000,1
100000000011010110010111010001,1
100000000011000000000111000110,1
101101000111101101001010010110,1
000000000000010000000001110010,1
101110011011001110011000011000,1
100000000000001011101010011000,1
111101000101001101101000000001,1
000000111000011010000111000000,1
110000000011001000000111010001,1
000000000000011100010001101000,1
101101000110001001100001001000,1
101110101110011110101100001000,1
111101000110010010011001001101,1
101101000111100111110100000110,1
111101000101001011101100011110,1
100000000000010000001010000000,1
101101000101010000100101111011,1
000000111000000110100001001011,1
100000111011000100011011110001,1
100000000000001001101100111000,1
101101000110111011011000011000,1
101101000101011110101001001001,1
111101000110011010000101011111,1
101101000101010101000001100101,1
100000000000010101001100101101,1
100000000000010111011001101101,1
100000000000010110100101010001,1
110011101000001101101101101011,1
000000000011101010110101110001,1
101101000111100110100001100000,1
100000000011010001100111111011,1
100011011110001000000110000001,1
101101000110000010011000001011,1
101101000111110111111011111000,1
100000111011000001100100000000,1
100000000000001011100101011000,1
100000000000010111111101010001,1
101101000101001110100001100000,1
100000000011010010000101101000,1
100000000011000110000111000001,1
110000000000010010111001001001,1
100000001000001010000100110111,1
100000000000010100111001110001,1
001110101101001100011000001001,1
101101000110011111111011100100,1
101101000101001011100111100001,1
111101001110011010111001000110,1
101101000100000010000001101010,1
100000000000001100011110111010,1
101101000110110010110110010001,1
110011011101001000000001010001,1
101101000101011100010011001110,1
100000000010000101101001111110,1
101110101110001110101001110001,1
001101000101010001100111110001,1
011101000110010101111010111011,1
101101000110010110001110001000,1
110000000000010011101000001011,1
100000111010111110001010011110,1
100000000010000111011011110001,1
110000000000010101100001110001,1
101101000110011101111001100000,1
110000000000000010111001011000,1
100000000000011000000001101001,1
101101000110010000000001001000,1
100000000011101010000101001011,1
100000000011011010011001000110,1
110000000000011110101100010111,1
100011011101010000000010110001,1
101101000110000101000111010001,1
101101000110011011100101111000,1
101101000110111100000001011000,1
100011011101001101110101011010,1
101101000110010010011010001011,1
101101000101001101100000111011,1
100000000010011010000110100111,1
100000000000001110011001010001,1
101101000110001010110110111000,1
100011101000011101111011101111,1
100000000000010000100100100001,1
101101000101001011011000000110,1
000000000011100001010110100000,1
101110011011011010000001110001,1
101110011001100011011001111000,1
001110011000000011010110110000,1
010000111011011111000111011010,1
100000000001110110001011101011,1
000000000011110101111101111000,1
111110011000000100011011000001,1
101101000110000001100001001000,1
100000000000010101001000011010,1
000000000001000010111000011010,1
101101000110000101111110111000,1
100000111000010111000001111111,1
101110011000010110100111010001,1
101110101100100000000001000110,1
101101000110011101111001101101,1
100000000000100111001111000110,1
101101000101000000000101110001,1
000000000000010111111011001000,1
100000000000001010001010100110,1
100000000010111110010101100000,1
100000000000001110011010011000,1
101110011011001000000110100000,1
111101000101010110011110101011,1
100000000000011001111001000110,1
101101000111001101111001101110,1
101101000110011000000001001100,1
101101000110011010011000101011,1
101101000101011100011000001000,1
101101000101101000000001011111,1
001101000111100111111010100110,1
110000000000011011011011111000,1
100000111000100110101110110001,1
100011011110110100010100110001,1
111101000110101010111001000110,1
100000000000100000001001100101,1
101101111110000100011010010001,1
100000000000010001011011110111,1
001110101110010001100100011000,1
101101000110010110100000100100,1
010000000011011010011000111001,1
110000000000011100011011100110,1
100011101011111011110010000001,1
010011100110001100011001100111,1
100000000011111000001001110001,1
100000111011101111111110110001,1
001101000101001100011110010111,1
110000000000011110001000100000,1
001110101110011000001100011001,1
100000111000000010111000101110,1
111110011000011000001001001110,1
100011101011110100011001000001,1
101110101110000001101010101110,1
100000000011001100011110101011,1
111101000110011100011001111001,1
010000000000100011111001110001,1
111101000110011111011011111000,1
100000000010011110101000000000,1
100000000011100011100011000000,1
100000000010011100011011101110,1
101101000111001010111011100000,1
100011011110010111001101000110,1
010011101000010011100101000110,1
100000000000101100011010010111,1
111101000110100101111001000111,1
110011101000010000000100110001,1
100000000000000110110100101000,1
111110011000101110000111111000,1
101101000110111100010100110111,1
110000000000011101111011010011,1
100000000011110110000111000110,1
111101000110011001111001011000,1
101101000110001101111110011111,1
101101000110011110100110011000,1
110000000011101100011010100001,1
100000000000001111001001110000,1
100011101001110001101001101011,1
111101000110011000001000100111,1
101101000101111001111011111010,1
101101000101011011011000000110,1
001101000110000111000001100101,1
101101000110011010111011101001,1
101101000110010111111010000111,1
101101000110000000111100000000,1
011110100001110001101100100000,1
101101000111100101000101001011,1
100000000011010000110110101011,1
101101111110000011011001100111,1
101101000110101001011010111110,1
101101000100001100011100100110,1
100000000001100100011001000000,1
101101000111011010111110011000,1
100000000011010000001010011010,1
101110101110110010000101010001,1
100011011101010110011011101011,1
101101000101010101111110100110,1
101110011011001101111001100000,1
100000000001101110000001010110,1
101101000101011000000000010000,1
100011011100011110100110011001,1
101101111110001100011010100000,1
101110101101001100010110101001,1
100000000000001000001000000000,1
100000000000100000001000000001,1
100000111001010010110000001000,1
100000001011100010110101010001,1
100011100101010110100010111011,1
100000000011110010000100101000,1
110000000000010010111001011111,1
101101000110011111001100011001,1
111101000110100110101001111011,1
101101111110011101000101011010,1
101101000110011111111011111111,1
011101000110010011101100111000,1
100000000010000100011000001101,1
101101000111001111111001100110,1
101101000110010001101001001001,1
101101000101011100011000010100,1
000000000000011100011011011111,1
001101000110110100011000000001,1
100000000000011001011001111111,1
101110011000001101111000001011,1
101101000110110011101010100110,1
101101000110010001011000111010,1
100011101000001110100111010001,1
001101000110101110100001110001,1
111101000111010111001110110000,1
111101000110001110010001011010,1
101101000110011000000100001001,1
100000000001011110001101111000,1
001110101110000010111011010011,1
101101000110010011011011110111,1
111101000110101101001000100110,1
101101000110010000000110110010,1
101110011011010010001001110001,1
101101000110001000001001111001,1
111101000110011111111001001110,1
110000000000000110100100011111,1
100000000000000011000001001110,1
110000000000001011110101001011,1
100011011110010110101001110001,1
101101000110011111110000011010,1
101101111110101011101010000000,1
110011101001100010000100000110,1
001101000101101011101101101001,1
100000000000011001101001111010,1
101101000101010011011011110001,1
111101000110000001100001110001,1
100011101001011101100001011001,1
111101000110011100100001100000,1
101101000101010111001001000000,1
100000000000010010111001011000,1
100000000010011111010001100110,1
111101000110011011111010110001,1
100000000000001110011000110001,1
100000000000010100111011100000,1
110000000011011011011001101100,1
101101000101010000000001100000,1
000000000001111001100101110000,1
101101000110010100011001111001,1
110000000000011110100111100000,1
111101000101011111110100000110,1
101101000101011001101100010001,1
010000000011000110000111001000,1
000000000001111001101000010000,1
001110011000011111111000001011,1
100000111011101000100101010000,1
101101000110000001101001011110,1
111101000101011110011110110001,1
101101000101010000001010101011,1
101101111110010101110110001011,1
100000000011011000000001111110,1
101101000101000010001101100110,1
010000000000001000000000010111,1
101101111110111010001010011000,1
000000000000011001011010100110,1
100000000011011000000111010001,1
101101000110011110111001100111,1
100000000011010100011001000000,1
001101001110010000000000100110,1
100000000011001101110001001011,1
101101000110001010111001111001,1
100000000011011000000000100000,1
110000000001111100011001001110,1
101101000110111011011011111000,1
100000000010110111011011011000,1
000000000011000010111011000001,1
100000111000000010001010101000,1
100000000000001111000001000001,1
101101000110011100010100001011,1
100000000000011111011010000000,1
100000000011110110000111101110,1
101101000101010101111001110001,1
101101000111110001100001001001,1
111101000110001000000111010111,1
110000000011100101111011111111,1
101101000110010100011110010001,1
