Result,Count
000000001111001000111100001010,1
010000001111001010111101101010,1
100000001001011000000101101011,1
010000000111010000111101100011,1
000000001011000010101100101010,1
010000000011011000100100000011,1
010000001011000010101101001000,1
100000001011010000000100000010,1
110000001011010000100100001011,1
000000000111000010011000100010,1
000000000111000000111101101010,1
100000001011011000101100001011,1
110000000011001000101101100011,1
000000000111000010011100010011,1
010000000111011010110000110011,1
000000000011000010100100000011,1
110000001111001000100101110011,1
000000001011011000100000101011,1
100000001011001010101100100011,1
010000001011001000000100000011,1
010000000011001000101100001011,1
010000001011010010011100100010,1
000000001011011010110100010010,1
000000001001011000110101101011,1
010000000011011000000101100011,1
100000001111010000001101100011,1
100000001011011000010101001011,1
010000001111001000010100100011,1
000000000111011010100101101010,1
000000000011010000111101111010,1
010000001111010000110100000001,1
100000001111000000000101101010,1
000000001011001010000000000011,1
000000001111001000001100100011,1
110000001111011010110101000011,1
000000001010000010100101011011,1
010000001011011010011100110010,1
000000000011010010001100000011,1
100000001011011000111101001010,1
110000000111011000100100101010,1
010000000011011010110101001010,1
000000000111011000101001101010,1
010000000111011010100101001010,1
010000000011000000000100100010,1
010000001011011000010101001001,1
000000001011010000011000001010,1
110000000111011000110101100011,1
110000000011010010011100001011,1
000000000111001010101100000011,1
010000000011001000100101001010,1
010000001011010010001100000010,1
100000000111010000110100011010,1
000000001111010000111101101001,1
100000001011011000000101101011,1
010000001111010010010000000010,1
000000000011011010110100101010,1
110000001111000000110100001011,1
010000000111010010100100100011,2
010000001111010000010100100001,1
010000001011011010100100111011,1
000000000111001000101100011010,1
000000001111001000010100001010,1
100000001110011000000100001010,1
100000001111000000001100101011,1
000000000011010000000100001010,1
000000001011001010110101000011,1
000000001001010010100000100010,1
010000000111011000101100001010,1
000000001111010010010101100011,1
100000001111010010100101001011,1
000000000011001000100101011010,1
110000000011011010111000001011,1
000000001011011010111100000010,1
010000001110011000100101000011,1
010000001111010010100100010011,1
100000001111000000000101001010,1
010000000011011000101101101010,1
010000001110010010110101100011,1
110000001011000000101101000010,1
100000001111010010110101001011,1
000000001001000010100101000011,1
010000001011010000010101100011,1
010000001111010000010101011010,1
010000001011000010110101100001,1
000000000011000010110101100011,1
000000001011000000110000101010,1
000000001111010000110000100011,1
100000001011000010101100100010,1
110000000011010000110100001010,1
000000001111011000101101011011,1
000000001111010010101100111010,2
010000001110001000110100000010,1
100000001111010000101000100010,1
000000000111010000100100001011,1
010000000011000010001100100010,1
010000001011011000110101010011,1
100000001011000010101101001010,1
000000000111010010000101100010,1
010000001011000000010101100011,1
000000001111000000101100111010,1
000000000111010000111001100010,1
000000000011001000010101001011,2
010000001101011000110101101010,1
000000001011010000011101001011,1
110000000011011010101101001011,1
010000001111010010110101001001,1
000000001011011000001101000010,1
000000001111000000000101000010,1
010000000010010010110100010010,1
000000001111010010100101010011,1
000000001011010000100100010011,1
010000000011001000101100000010,1
110000001011011000101100101011,1
010000000011011000111100001010,1
110000001011010010110100001010,1
010000001011011010100000100010,1
010000001011011000000100100011,1
010000001011000010110101000010,1
000000001011000000101101111011,1
000000001111000000111101000011,1
010000000011001010010100001011,1
000000001111011000110100011010,1
000000001001011010111100010011,1
110000001011000000101100100011,1
010000000011010000001101101011,1
110000001111010010111000010011,1
010000001111010010001100000010,1
000000001111010010110000000010,1
010000001111000000000101111010,1
100000001011011010010101000011,1
000000000011011000101100100010,1
000000000110011000000100100011,1
100000000011010000010101001011,1
000000000011001010100101011010,1
000000000111001000100101111010,1
000000000001010000001100101011,1
010000001101001000100101101011,1
010000000111011000100100111010,1
110000001011011000100100010000,1
000000001011000010111101101010,1
000000001011001000010000101010,1
000000001111010010001101001010,1
000000001001011010100100000010,1
000000000101010000110100101011,1
000000001111001010011101000010,1
000000001001011000101100001011,1
000000001001010000010100001010,1
000000001111011010000101001011,1
